no,location,id,depth,wat_level,elev,tds,ph,ec,k,ca,mg,na,so4,cl,hco3,year,ionbal,coord_x,coord_y,screen,aquifer,facies
26,"Aorta, Kaligawe",SB 793,150,25.86,1.5,428,7.81,636,3.5,20.4,1.5,128,56.5,41.2,275.8,2003,-0.4,441053,9231157,103 - 109,Garang,sodium bicarbonate
11,Aquaria,SB 790,,32.5,5,451,7.26,672,6,25,9,132,52.6,19.6,360.3,2003,2.1,444750,9223550,,Garang,sodium bicarbonate
19,Bukit Perak (Jl. Raya Tugu),SB 590,90,23.58,25,304,6.46,452,7,54.5,15.8,37,6.7,44.9,257.1,2003,1.7,427050,9227750,72 - 84,Damar,calcium bicarbonate
27,Bulusan Kec. Karangtengah,SB 951,100,7.5,2,791,8.05,1183,10,8.6,1.3,244,45.6,211.4,268.3,2003,0.4,450100,9240700,92 - 98,Quaternary marine,sodium chloride
20,CP Prima,SB 226,114,21.72,2,451,7.76,673,3.5,46.4,5,80,64.6,57.4,189.5,2003,1.9,443643,9232076,106 - 112,Garang,sodium bicarbonate
22,Desa Bulusari ,SB 281,120,14.2,3,571,8.25,850,2.5,14,3.9,150,98.6,91.1,144.5,2003,4.2,449183,9229062,114 - 120,Quaternary marine,sodium chloride
46,Desa Donorejo,SB 321,114,1.5,4,1109,7.26,1650,2.4,19.1,7.8,276,162.6,177.4,370.3,1992,-2.8,457107,9231493,105 - 114,Quaternary marine,sodium bicarbonate
6,Desa Gemolak Kec. Sayung,SB 344,126,7.75,1,656,11.6,1006,5,16.6,16.3,200,12.6,114.5,408.8,2007,3.8,448539,9233634,114 - 120,Quaternary marine,sodium bicarbonate
28,Desa Karangsari ,SB 332,,10.8,10,424,8.52,631,1.5,4.8,6.1,128,63.3,55.3,178.2,2003,4.5,455055,9235260,,Quaternary marine,sodium bicarbonate
30,Desa Rejosari Kec. Gajah,SB 265,90,2.3,6,1540,7.29,2300,6.5,43.2,13,500,38.6,811.4,129.5,2003,-1.3,469525,9237385,,Quaternary marine,sodium chloride
29,Desa Trengguli,SB 262,120,2,5,2684,6.96,3890,19.5,309.8,82.8,440,76.2,1254.5,384.7,2003,-1.5,466453,9237635,,Quaternary marine,sodium chloride
39,Dolog Mangkang,SB 270,,19.8,20,381,7.23,557,9,45,16.4,50,38.3,57,231.9,1992,-1.6,421950,9229400,,Damar,calcium bicarbonate
15,Es Prawito Jaya Baru,SB 33,90,22.5,25,248,6.42,370,6.5,48.6,13.4,26,9.7,20.8,243.9,2003,0.4,429310,9227496,70 - 86,Damar,calcium bicarbonate
16,Gudang PT Djarum,SB 120,63,24.36,9,528,7.33,789,5.5,62.5,18.5,97,37.2,145.5,277.7,2003,-2.3,437894,9226379,57 - 60,Garang,sodium bicarbonate
47,Guntur,SB 758,100,0.5,6,945,7.21,1350,9.2,17.6,5.3,248,166.1,99.6,382.5,1992,-0.8,457200,9228400,86 - 99,Quaternary marine,sodium bicarbonate
35,Hotel Oewa Asia,SB 176,90,18.7,3,684,7.67,1023,10,25.5,15.3,180,60.5,229.3,202.6,2003,-2,436147,9229528,70 - 80,Quaternary marine,sodium chloride
14,Hotel Rahayu Kel. Purwosari,SB 348,59,26.07,3,1436,7.98,1902,9,141.6,15.8,620,22.1,1003,241.3,2007,4.2,435941,9229434,42 - 57,Quaternary marine,sodium chloride
40,Hotel Santika,SB 278,86,7.86,5,901,7.15,1341,10,53.7,29.4,160,14.9,224,355.9,1992,-0.6,436950,9226950,,Quaternary marine,sodium bicarbonate
54,Hotel Siranda,SB 112,122,24.96,30,519,7.35,740,7.6,89.9,23.6,62,17.7,70,377.9,1993,4.4,435763,9226415,30-35 & 48-53,Damar,calcium bicarbonate
51,Jamus Mranggen,SB 726,,8,14,529,7.25,800,6.4,17.6,5.3,130,36.2,27.2,321.2,1992,2.5,445000,9226200,,Quaternary marine,sodium bicarbonate
24,Kartika sirup Kec. Gubug ,SB 299,60,8.46,11,391,7.67,584,8.5,29,6.9,100,11.9,49.1,311.5,2003,-1.2,462523,9220550,,Quaternary marine,sodium bicarbonate
50,"Metro International Hotel, PT.",SB 100,80,17.3,3,817,7.34,1200,10.6,42.6,13.4,168,79.5,215.4,253.2,1992,-4.7,436878,9229709,70 - 79,Quaternary marine,sodium chloride
